f1,f2,f3,f4,f5,f6,f7,f8
209,55,201,93,133,2,106,247
210,222,222,61,68,226,235,162
119,7,89,144,162,245,147,139
149,178,227,5,253,155,199,172
74,151,100,16,146,171,211,216
119,161,246,171,222,223,92,199
56,28,164,82,209,55,150,169
205,17,142,233,225,129,150,50
196,157,254,222,181,215,148,136
155,247,152,199,133,118,1,241
40,252,117,211,29,81,246,111
14,83,93,175,59,58,252,0
121,8,121,69,46,98,29,140
141,144,66,248,237,61,75,201
158,36,159,77,53,128,203,80
92,60,47,227,40,13,133,142
169,92,220,58,250,15,213,212
100,129,151,119,150,233,12,41
222,56,244,161,146,93,112,58
21,236,185,236,138,183,17,183
11,183,241,162,14,231,8,146
175,190,105,152,114,171,13,196
112,131,22,235,118,199,21,143
15,128,77,98,37,52,184,17
0,111,35,204,180,140,117,109
34,2,51,6,38,171,71,108
2,162,174,212,53,217,199,12
113,90,121,198,157,87,65,87
208,255,248,208,187,171,63,149
65,63,201,241,255,62,204,171
75,4,233,233,133,4,122,114
163,207,63,13,24,219,9,68
205,228,215,47,206,176,77,89
188,148,18,157,244,151,97,138
69,106,55,227,10,121,238,164
2,163,138,71,48,235,125,167
98,209,218,93,255,216,234,152
94,164,120,227,237,216,245,116
69,132,121,22,141,212,168,155
219,49,65,25,76,203,247,227
173,201,191,233,247,164,185,49
174,83,34,0,59,212,184,130
8,249,166,39,131,140,11,165
245,174,51,174,225,213,16,68
108,124,217,254,75,113,13,21
212,82,190,69,62,170,183,33
131,100,8,57,167,252,89,61
220,144,200,253,57,34,42,170
121,142,128,88,74,144,155,205
80,61,95,155,8,40,219,108
124,147,98,131,206,217,187,162
149,71,11,228,39,119,166,211
127,214,236,189,122,0,54,77
14,131,22,205,110,32,224,148
115,23,52,13,138,170,131,38
89,89,253,251,6,130,211,135
238,193,199,70,241,54,198,132
159,96,195,67,102,99,95,100
105,205,213,68,52,227,81,45
134,65,39,1,121,252,85,107
227,99,251,90,114,54,33,16
102,26,202,195,77,169,146,89
80,164,236,93,208,182,95,25
11,134,145,148,90,209,65,179
228,104,70,189,247,134,76,241
100,146,77,33,63,155,61,200
8,58,49,105,179,200,116,188
102,170,219,93,248,225,12,38
126,100,116,129,201,29,233,62
255,205,224,154,214,24,193,43
52,247,60,167,112,86,231,235
89,94,252,224,243,238,220,113
220,214,1,140,176,208,66,131
179,191,124,120,174,13,93,48
111,62,243,83,219,139,144,48
126,160,96,60,115,115,167,43
182,117,188,27,24,59,108,77
95,168,69,115,40,67,211,248
207,80,229,83,109,135,149,74
44,127,129,193,184,15,69,236
237,76,186,105,149,186,249,149
58,229,8,12,37,205,62,90
20,51,57,56,110,151,118,40
137,249,46,39,21,198,172,175
160,184,143,157,229,36,28,5
226,78,101,72,61,254,133,175
62,8,71,5,166,27,249,29
224,107,78,151,146,227,107,137
132,134,162,230,52,70,126,215
117,126,42,50,164,180,27,231
254,17,229,195,164,127,121,80
34,165,53,31,223,247,191,216
32,174,2,128,45,198,180,8
104,22,54,186,32,223,194,227
229,217,49,86,39,23,220,223
41,62,215,33,14,255,146,127
108,191,4,7,201,134,217,66
236,232,97,34,248,171,186,149
170,39,183,218,25,100,163,192
143,100,148,70,163,138,54,25
243,246,50,212,204,13,224,198
56,164,230,155,187,62,78,44
220,170,74,68,178,62,77,251
57,8,147,173,40,141,180,148
191,220,67,115,66,142,166,79
214,90,92,163,142,78,160,153
236,251,200,209,206,150,65,107
196,145,152,144,5,221,87,147
53,234,180,177,15,141,7,233
80,20,145,15,167,10,236,213
65,106,69,20,144,173,22,104
64,180,146,81,50,134,47,147
234,110,235,99,17,137,145,222
194,192,167,235,138,141,104,136
216,38,208,79,242,219,33,119
139,68,58,109,239,57,109,194
171,151,23,215,117,249,250,70
219,24,151,177,238,25,157,68
190,181,238,181,154,108,235,240
151,58,27,89,124,35,65,171
220,170,244,191,204,17,249,196
255,162,218,160,219,9,30,34
17,40,243,177,79,23,112,16
49,249,6,143,53,149,227,201
201,113,30,59,164,28,10,253
31,75,128,51,234,237,203,7
109,220,140,130,85,192,152,13
45,108,204,95,49,184,187,241
128,136,41,181,91,120,54,127
125,217,82,176,141,227,77,205
38,125,27,105,35,5,115,67
90,162,129,139,143,23,153,51
70,211,130,87,108,210,16,57
154,28,210,84,214,120,5,71
218,185,6,198,76,215,212,203
152,216,85,228,148,219,160,248
191,141,208,119,68,175,208,36
24,92,115,209,135,117,101,45
178,215,49,210,159,22,188,80
14,175,156,246,13,96,165,245
116,171,47,51,94,127,172,1
67,177,17,27,78,253,146,8
39,201,223,251,4,61,187,175
102,150,211,52,132,26,11,8
209,173,247,163,245,243,78,153
54,239,42,54,79,128,8,152
207,101,93,253,186,84,27,209
6,134,175,159,33,20,61,65
27,57,176,199,101,14,204,169
91,228,203,95,6,157,72,165
41,68,64,16,69,91,197,213
108,64,76,234,103,244,242,230
84,104,237,41,224,37,49,249
65,12,75,104,218,239,78,147
207,217,228,145,20,77,188,167
12,137,38,239,137,86,53,220
76,213,1,108,92,134,187,114
240,219,73,249,244,231,16,120
110,193,18,60,69,220,252,89
58,161,217,225,198,196,225,209
2,123,204,151,247,184,196,107
172,102,75,216,223,5,71,235
64,119,226,83,66,223,132,233
125,2,29,58,242,46,8,64
188,91,106,43,227,50,206,114
199,188,150,145,140,72,178,248
104,44,149,106,249,76,215,178
94,182,239,136,116,255,1,11
1,106,196,192,15,169,18,168
49,130,99,125,0,27,120,67
165,85,125,79,6,110,146,7
205,30,170,97,56,60,182,85
93,15,54,250,100,170,17,236
67,50,57,184,179,205,235,39
208,33,15,176,199,26,59,235
204,243,95,53,80,6,131,181
6,211,248,119,135,68,127,115
207,108,158,221,77,183,151,132
218,144,44,34,171,133,232,235
8,172,186,212,39,179,209,55
160,163,238,145,134,203,63,73
254,119,126,74,66,112,201,158
14,88,143,24,227,182,49,119
169,101,158,73,9,216,109,237
161,41,223,223,170,61,183,77
43,125,187,43,93,220,232,189
127,58,59,40,85,201,122,23
61,91,144,2,244,85,128,61
172,109,43,135,10,181,254,180
118,58,68,220,197,84,208,21
170,56,59,237,174,75,151,122
44,214,44,80,100,29,181,187
52,156,184,73,255,245,1,136
134,14,126,168,113,177,240,31
240,76,194,152,4,141,179,250
47,196,67,163,41,38,174,60
35,160,36,8,65,47,126,173
120,19,167,114,124,148,251,45
207,122,204,154,108,40,25,98
88,130,186,152,23,31,206,106
167,200,114,84,27,230,213,28
211,142,39,62,143,77,190,64
250,180,128,215,71,200,98,202
157,38,252,113,251,110,43,28
175,118,39,87,92,105,115,15
174,147,168,201,204,249,197,105
15,88,221,0,22,255,95,101
148,124,194,176,62,123,230,255
170,51,224,10,16,235,210,36
237,77,69,186,217,171,149,241
83,137,6,231,117,66,191,70
193,21,228,14,228,102,249,215
170,240,183,75,113,34,234,244
234,162,128,113,136,214,98,101
30,192,57,113,166,5,93,144
66,175,162,15,118,1,1,30
225,6,59,39,242,186,99,132
204,123,250,106,136,58,104,134
25,35,113,197,100,157,86,64
108,29,170,233,135,26,150,70
195,40,181,153,166,29,196,82
157,23,168,114,67,120,107,232
196,39,8,197,53,171,31,132
240,245,154,37,62,67,173,194
238,83,65,208,146,101,215,56
216,64,140,45,136,131,19,208
36,108,62,149,204,237,148,36
83,68,234,123,147,131,94,217
252,12,224,1,230,183,43,133
143,56,169,143,98,142,87,84
184,43,223,192,159,96,105,188
42,34,233,240,25,17,123,84
188,255,184,230,179,159,53,152
65,139,255,175,220,124,82,231
84,138,215,218,5,248,192,226
252,89,75,240,155,42,241,239
126,61,245,245,17,178,89,201
105,205,48,144,144,203,46,208
174,89,123,244,226,204,136,47
15,55,136,82,53,158,96,255
109,2,6,75,68,33,7,120
96,177,57,21,30,191,64,112
130,117,126,236,173,53,188,97
108,248,186,21,152,75,156,248
224,171,6,0,2,253,160,158
241,215,173,113,169,129,167,40
120,16,0,1,176,104,35,196
62,178,112,204,38,215,102,172
19,110,171,230,167,214,253,234
70,235,166,135,125,212,50,238
103,115,28,165,123,112,129,228
85,218,235,62,170,166,171,204
127,220,112,135,243,250,117,226
186,145,9,181,138,167,193,57
215,32,125,145,100,112,250,115
123,126,205,205,25,201,59,89
130,15,223,122,219,59,41,245
233,17,72,243,67,18,10,24
220,166,162,235,150,32,84,93
21,19,73,94,55,45,66,144
109,29,36,252,223,166,158,229
122,61,109,7,47,130,251,23
15,131,254,128,39,132,30,197
222,230,222,234,196,42,175,70
17,174,144,186,131,189,70,109
238,130,193,37,225,4,48,192
81,82,155,204,53,174,170,140
165,154,173,250,72,245,185,181
219,13,74,150,26,157,201,60
56,140,83,134,237,58,34,133
184,234,132,168,85,98,235,119
5,27,132,179,189,132,208,77
65,181,253,54,38,125,207,153
59,85,188,184,11,135,165,249
121,196,45,139,84,205,59,127
191,109,207,44,98,82,56,122
95,66,42,33,170,88,212,29
202,44,203,86,228,209,145,76
249,23,159,28,40,158,39,208
193,191,99,41,147,160,218,37
176,109,204,63,134,209,89,137
86,175,155,70,68,96,192,98
176,251,66,5,133,146,88,161
208,23,85,156,247,19,9,195
5,23,182,17,28,165,22,149
67,242,36,119,255,240,140,183
187,225,87,173,220,17,206,198
148,144,0,179,32,106,121,225
84,16,215,42,75,95,52,52
127,20,163,52,162,242,36,49
151,15,199,102,160,16,75,88
139,17,155,177,33,57,90,126
196,66,248,184,111,235,69,216
138,102,216,175,25,28,120,165
62,91,142,112,254,124,29,46
170,177,188,53,195,246,180,67
100,52,73,158,68,25,156,13
17,4,98,74,232,87,126,166
178,37,131,157,108,121,117,125
136,202,174,90,140,133,32,104
176,133,167,113,234,222,56,64
89,51,241,220,14,35,19,71
238,243,46,111,167,222,177,105
116,129,85,187,13,138,232,206
7,242,221,29,102,137,240,72
51,32,174,254,71,108,252,221
188,70,73,19,83,158,121,88
66,44,194,78,137,232,169,107
38,32,182,111,95,7,218,164
92,167,172,48,4,233,250,165
160,6,62,130,244,67,199,194
76,167,228,9,251,195,98,185
202,120,195,66,102,131,210,167
32,254,253,149,240,13,240,106
106,90,134,9,37,159,73,139
175,62,119,164,56,44,254,40
26,165,161,118,20,225,39,185
153,209,150,213,19,5,6,191
54,203,105,185,75,63,150,51
59,105,79,158,6,69,57,120
99,36,85,247,245,215,98,50
154,134,109,62,204,74,115,123
89,164,22,144,198,38,102,75
26,109,249,51,63,234,47,154
26,118,86,174,234,182,131,224
154,11,241,128,167,202,139,187
144,218,36,63,41,122,206,222
102,48,93,142,21,99,181,156
178,180,111,144,219,36,118,14
157,69,207,86,109,244,23,130
219,93,230,18,174,17,140,254
173,172,220,156,95,95,108,204
67,245,118,151,180,16,148,183
185,117,180,71,114,3,8,199
132,248,164,20,218,147,205,26
167,253,99,69,216,75,202,173
33,156,98,225,6,73,116,33
81,39,22,191,181,204,69,171
70,138,126,255,168,143,236,82
75,113,159,126,107,237,169,237
3,179,95,0,138,16,234,244
58,236,208,32,217,180,115,182
176,7,3,153,212,11,242,223
120,9,152,254,242,196,198,56
83,10,67,69,164,198,216,231
108,157,142,4,49,126,33,100
137,23,190,57,244,166,79,252
240,229,199,64,89,61,175,177
164,93,45,238,137,47,221,125
150,183,88,179,71,1,237,101
13,124,27,158,47,197,251,44
7,177,55,224,38,120,108,44
83,84,220,92,186,231,188,214
185,28,107,232,196,26,1,19
187,141,42,147,71,132,207,141
117,102,122,56,173,46,136,252
223,213,227,243,108,127,97,128
94,237,16,16,198,20,180,81
252,20,27,156,132,177,188,163
193,9,149,148,5,64,168,84
157,247,142,236,41,156,114,127
58,60,104,88,77,25,1,88
43,146,208,68,65,141,108,185
126,146,227,190,219,119,138,82
55,117,215,13,10,245,46,243
191,75,127,167,226,5,57,247
74,67,103,87,77,64,91,69
211,243,102,203,131,158,177,54
161,67,243,30,95,202,50,175
229,152,241,188,97,78,137,149
210,38,95,13,199,16,148,145
161,231,193,154,24,164,9,230
50,235,170,255,202,245,59,60
129,252,35,197,1,250,53,72
3,222,252,40,218,102,243,252
54,112,70,109,230,157,185,236
255,0,4,174,208,3,204,181
59,192,174,30,93,109,228,121
115,192,65,8,201,55,125,61
238,115,220,24,122,208,206,108
10,251,38,174,195,210,52,12
132,155,38,37,131,234,184,91
184,139,11,226,241,171,44,100
3,40,172,55,215,208,162,138
169,37,119,107,21,5,182,162
110,246,135,161,131,155,16,171
140,130,29,115,254,83,198,223
154,57,89,238,76,161,35,77
124,244,30,75,14,167,143,91
133,153,250,229,70,175,234,102
93,130,87,146,162,170,253,182
172,42,78,5,246,192,218,245
14,133,94,153,204,42,110,107
0,24,212,51,64,252,222,9
4,51,6,52,79,33,146,101
126,109,212,174,141,15,143,211
44,255,183,87,246,27,193,17
130,104,24,50,138,209,229,99
38,14,165,170,40,241,13,30
93,0,249,112,85,100,167,248
87,29,185,196,126,245,206,75
127,181,193,19,199,119,93,223
120,76,231,196,182,199,252,240
119,222,44,149,251,201,184,156
48,96,12,149,183,69,239,182
74,14,20,164,98,81,151,236
20,122,104,199,71,15,78,44
15,237,217,143,14,116,216,241
76,41,72,66,106,172,45,84
179,214,64,92,87,155,99,242
166,244,164,2,245,34,89,197
198,190,145,186,176,15,218,87
3,123,252,114,66,18,192,218
229,250,85,130,160,51,218,201
54,121,219,71,212,48,68,42
100,73,74,182,249,128,164,86
21,120,215,115,235,212,44,114
131,121,206,234,116,101,233,59
129,140,222,137,235,136,27,27
62,228,88,19,207,171,243,31
64,228,203,204,54,62,245,238
61,29,133,40,114,109,90,115
254,147,30,243,245,150,154,103
116,225,111,63,20,90,121,250
44,1,144,25,131,98,190,245
113,156,202,58,135,39,101,80
234,51,41,21,115,114,134,153
36,197,205,132,77,236,230,222
139,127,88,155,0,114,43,13
174,99,83,137,70,119,249,115
238,164,117,240,80,184,66,177
0,76,112,177,185,102,25,0
147,156,217,10,45,149,168,8
58,153,8,132,227,234,253,220
133,64,159,192,178,60,117,204
199,208,182,151,180,159,178,87
255,197,241,184,255,160,167,163
142,32,105,255,157,194,200,178
181,74,68,22,150,44,91,231
27,34,219,208,5,249,139,58
139,252,180,190,78,8,12,19
230,68,97,197,79,242,48,229
231,15,90,154,126,24,46,73
58,107,35,181,17,106,113,170
240,21,182,209,14,16,86,125
102,32,176,21,202,34,230,98
163,50,112,240,2,71,148,206
159,202,176,97,237,243,96,47
30,119,111,170,204,255,207,173
208,33,125,6,71,106,189,141
227,247,53,255,40,140,245,91
146,159,57,148,49,20,131,21
154,188,2,142,60,236,124,53
183,211,160,178,225,214,61,215
61,13,184,143,6,153,107,195
158,147,62,32,131,0,23,248
134,114,241,19,162,250,12,142
145,43,237,221,198,242,117,80
19,255,128,144,41,11,90,198
73,6,124,26,225,7,187,198
172,136,18,185,82,65,27,216
154,195,197,158,130,180,159,64
164,51,157,87,194,97,127,22
100,145,240,160,142,8,166,67
66,21,46,24,229,43,44,5
255,100,173,176,9,207,240,53
30,55,18,92,229,74,223,57
10,183,179,188,14,122,229,235
55,78,137,10,231,196,58,69
78,137,211,143,115,185,136,143
3,169,247,44,141,200,250,198
63,12,99,173,82,132,15,107
123,23,43,228,6,44,66,212
237,78,37,223,26,2,7,209
103,14,194,251,193,142,112,10
50,230,2,5,2,220,47,158
185,226,8,66,126,241,0,175
16,249,254,80,143,0,209,164
152,43,86,26,162,144,234,142
34,254,166,176,59,98,161,132
107,36,77,30,145,0,144,20
11,92,66,179,104,246,241,242
251,152,211,230,202,186,104,49
168,251,18,249,114,230,89,144
121,61,24,145,205,6,46,226
160,128,210,201,92,99,184,254
44,188,107,10,127,77,153,75
74,45,105,42,213,154,37,170
5,236,32,70,136,167,63,157
106,100,21,207,62,223,71,103
71,102,196,103,25,29,14,224
125,111,132,199,88,24,109,129
196,137,111,228,57,170,22,236
162,254,79,182,244,240,176,120
34,126,67,126,107,99,121,112
117,121,185,183,37,8,157,117
116,44,76,167,240,102,230,135
223,227,160,205,202,171,195,212
54,147,6,162,42,146,240,79
182,247,126,85,35,147,25,11
21,12,40,233,94,52,163,22
28,244,32,199,174,230,122,220
3,235,231,193,229,243,19,79
185,199,146,24,172,169,35,41
22,247,234,24,116,176,33,125
167,164,197,141,15,216,225,55
50,140,141,141,17,137,220,204
184,88,238,242,75,201,82,136
96,60,254,174,247,177,97,227
235,66,123,161,118,133,26,127
122,27,165,9,158,236,200,200
25,111,95,115,13,71,71,131
79,226,12,176,133,153,61,77
13,82,219,44,252,226,124,173
87,142,237,105,35,54,21,61
49,197,106,225,73,159,244,63
255,39,133,120,222,197,153,223
85,206,164,168,70,28,157,49
204,198,0,110,24,151,211,29
187,106,108,204,166,118,252,34
237,124,213,65,161,135,161,155
244,198,57,37,17,28,62,112
29,156,114,218,10,169,29,5
17,138,230,165,57,42,161,134
178,241,167,177,163,236,93,78
130,74,20,81,155,162,125,26
249,49,216,247,170,124,102,237
86,152,152,212,108,127,62,149
76,111,127,48,153,169,123,139
64,138,37,186,36,158,136,71
244,121,35,165,16,174,24,225
165,209,132,37,232,70,220,187
9,10,51,227,87,221,113,57
227,159,177,98,223,232,181,202
37,31,103,7,111,129,200,175
144,69,205,52,26,115,105,235
182,33,122,62,166,231,225,2
86,105,30,221,95,74,74,185
174,4,62,124,242,40,59,61
226,207,154,114,118,119,188,236
22,26,32,108,120,69,92,124
106,2,93,150,25,169,154,20
63,39,49,125,107,232,10,238
70,31,8,126,51,76,110,238
67,185,90,53,110,242,55,201
191,101,153,109,151,108,104,203
157,216,20,51,233,88,191,197
28,138,232,151,245,190,220,230
178,46,87,172,192,133,253,201
171,16,91,120,88,229,104,191
202,55,109,220,52,106,212,67
8,222,252,6,69,25,226,14
214,194,154,199,69,188,73,16
150,10,4,6,204,46,233,179
250,155,97,185,159,48,4,211
229,219,199,203,235,248,126,28
164,24,109,131,182,185,15,201
89,173,227,216,147,156,247,116
221,86,168,189,97,156,17,209
19,117,233,116,172,1,93,194
182,228,129,178,194,109,108,146
126,103,159,139,200,93,161,102
54,22,241,107,94,29,10,44
222,76,251,146,208,204,93,141
105,215,108,188,29,9,254,248
107,164,17,199,30,36,192,99
68,88,51,33,147,148,114,142
52,149,237,85,231,2,148,124
45,183,4,201,15,56,235,67
93,21,91,191,142,81,71,199
28,249,231,122,178,192,98,218
78,173,182,67,239,197,214,128
252,12,70,199,79,120,144,4
8,246,235,153,37,4,106,61
236,199,89,26,210,157,207,255
194,33,143,161,164,142,77,209
115,34,229,155,151,192,138,154
41,204,195,74,120,218,9,222
211,78,53,247,141,254,121,226
247,84,186,207,207,42,136,140
168,200,161,125,230,48,143,93
213,205,166,184,70,129,194,62
46,22,255,113,29,235,119,128
23,39,151,40,54,214,91,10
14,64,2,229,228,21,173,125
32,233,3,76,35,30,59,198
58,164,239,71,115,128,170,226
231,160,34,36,208,185,9,63
151,22,13,243,104,196,174,35
51,15,116,218,58,64,107,76
51,41,39,5,54,123,249,182
57,23,108,176,123,125,192,34
185,162,2,118,45,166,37,1
41,121,88,128,129,88,131,108
21,207,209,129,229,56,229,223
32,108,126,59,33,238,119,30
76,14,128,62,217,161,74,84
162,207,120,158,199,174,133,148
154,104,103,246,234,114,250,143
152,120,19,173,141,195,141,244
196,162,22,234,47,128,223,186
29,35,157,29,25,86,244,99
42,30,159,144,108,139,241,195
170,231,30,49,128,28,82,171
125,157,52,122,139,102,44,237
83,31,112,159,108,116,152,194
86,149,239,220,223,86,179,210
149,4,183,84,136,140,188,120
172,18,139,60,130,79,193,187
202,235,75,240,85,52,148,138
84,33,38,214,151,97,155,95
66,198,12,93,4,229,250,72
141,213,247,172,39,155,45,5
226,183,232,53,237,241,27,126
214,214,122,232,8,125,4,95
124,129,17,91,176,85,165,55
44,154,91,201,29,112,165,115
11,230,77,121,21,67,160,151
193,220,173,249,86,17,34,39
209,251,176,165,16,75,146,11
225,101,176,121,153,175,5,138
11,124,232,60,200,137,106,207
62,156,155,118,3,124,105,247
208,50,79,73,79,182,0,229
117,85,245,95,253,250,127,121
164,136,132,163,56,206,193,104
172,11,40,153,242,164,117,30
5,75,191,90,82,108,225,90
35,181,129,138,242,31,167,117
102,4,106,18,204,32,86,144
227,177,98,129,134,3,46,222
222,185,136,182,42,156,85,231
152,217,92,123,31,40,21,17
149,182,47,148,73,155,238,42
54,137,156,87,74,200,7,255
76,79,189,133,66,146,131,177
183,180,156,29,96,225,184,197
82,24,56,217,42,19,64,183
6,197,242,31,149,235,98,76
4,39,58,233,123,17,54,1
253,233,127,140,124,76,27,250
126,119,121,94,162,52,215,122
110,37,131,120,94,28,156,125
152,108,21,219,1,166,83,103
155,164,202,72,178,2,181,216
6,162,184,212,149,242,60,173
28,47,77,60,79,72,63,110
224,158,241,87,160,51,44,13
37,96,176,6,77,149,23,15
80,12,226,204,48,231,40,158
200,26,15,24,88,92,148,32
60,166,30,249,137,176,163,217
206,109,225,1,217,240,65,138
175,112,242,79,239,210,226,26
35,87,1,162,235,36,163,129
127,133,32,183,47,173,174,5
156,87,250,159,67,17,63,3
45,71,126,217,152,152,120,233
193,69,126,79,164,84,230,220
224,96,235,33,64,145,61,57
34,107,171,156,36,195,166,28
240,241,169,237,38,49,204,69
163,153,214,253,255,185,73,202
45,0,164,26,119,150,207,232
204,189,103,169,251,157,172,197
152,102,26,33,159,15,95,218
66,221,216,17,36,232,54,140
199,31,248,191,72,120,173,116
99,136,230,153,212,223,205,10
222,131,213,212,91,27,244,251
234,52,35,130,98,98,107,155
71,111,61,216,152,251,59,171
185,172,104,44,59,144,107,111
250,180,131,157,123,230,92,155
214,42,239,71,93,166,246,181
187,98,156,163,44,138,60,193
152,223,17,221,129,39,112,236
44,0,114,201,251,83,94,139
203,166,211,44,91,193,60,215
96,39,57,153,91,90,159,113
5,152,174,68,50,95,173,207
173,245,198,98,240,0,138,137
34,138,40,70,224,133,18,103
235,110,44,228,134,114,7,163
18,90,162,56,219,36,165,0
139,13,201,1,227,221,115,198
202,106,210,182,78,188,240,60
75,52,72,132,6,103,74,72
231,65,235,112,196,30,255,192
254,82,22,246,54,28,169,184
118,181,250,201,193,120,172,65
246,90,20,144,105,182,205,151
51,223,96,44,117,166,172,64
175,245,182,20,1,98,92,68
122,100,147,8,0,237,106,88
183,35,220,213,115,174,202,64
198,37,46,50,110,107,96,206
26,234,204,53,122,23,37,197
39,41,160,162,0,103,203,220
90,103,250,53,9,12,237,69
163,127,95,97,62,106,69,245
188,209,252,117,60,99,1,85
174,217,81,227,228,19,30,88
159,127,65,136,160,212,214,251
219,66,23,79,102,35,99,110
194,77,202,8,78,63,232,55
211,6,241,106,107,253,225,213
55,124,73,173,73,9,13,23
53,65,91,136,234,247,104,207
245,99,38,86,192,192,107,175
142,49,131,99,156,199,250,225
201,244,216,227,115,46,218,217
38,80,191,180,76,19,134,248
107,26,73,28,75,218,114,55
215,143,135,168,0,227,110,13
112,118,164,213,32,197,55,142
14,244,126,219,206,93,152,168
230,252,79,65,138,198,204,248
88,159,170,51,209,99,224,218
22,119,162,104,30,187,100,173
252,161,86,172,135,50,71,163
36,172,69,218,255,122,252,242
119,95,89,234,200,191,59,46
160,60,48,192,113,92,144,212
136,206,80,16,141,97,238,236
215,185,126,233,244,137,105,111
21,134,167,79,42,47,13,247
133,133,105,242,145,56,25,101
255,176,212,2,84,117,82,236
49,168,239,234,22,225,138,34
64,147,180,216,88,249,252,118
183,132,86,135,17,185,163,244
143,253,237,79,110,203,87,215
74,208,234,189,225,132,129,38
175,113,153,22,107,69,217,236
14,225,244,110,75,216,176,200
152,67,169,183,227,158,153,219
71,180,111,235,18,134,189,186
239,80,192,235,241,5,109,201
142,32,3,169,65,49,115,19
161,203,211,96,24,234,226,220
155,224,170,18,189,68,84,237
172,191,107,83,14,195,188,206
13,183,230,233,57,104,161,90
22,244,125,148,11,85,15,145
188,217,231,190,78,104,121,218
55,42,65,238,9,142,60,13
165,178,141,82,112,65,220,209
140,84,1,251,235,33,115,139
84,12,102,152,208,231,63,151
102,224,214,179,64,151,40,184
163,160,177,8,27,49,189,68
215,118,135,136,7,247,192,86
226,189,91,180,201,241,124,234
54,185,90,81,207,172,63,23
68,169,129,1,190,204,35,11
143,104,212,54,6,15,94,246
187,206,183,177,47,15,234,128
25,67,202,98,17,86,102,186
67,106,3,213,11,29,49,170
231,73,106,55,80,23,118,41
21,218,246,96,38,96,30,74
172,224,96,87,35,254,141,76
188,51,144,69,93,62,91,24
48,27,75,57,143,122,137,134
23,250,200,114,248,228,71,74
141,92,137,125,183,144,86,162
28,205,204,69,159,44,130,117
214,223,40,23,200,73,160,55
33,203,47,97,65,82,224,170
78,39,78,114,49,194,157,77
155,154,182,75,180,216,224,1
1,0,115,7,146,211,230,135
95,22,142,131,150,84,80,162
66,236,255,143,178,210,38,203
196,82,201,169,192,26,17,143
45,92,201,20,25,145,175,185
55,44,99,150,115,147,24,36
104,127,139,90,56,139,3,10
191,65,61,67,147,65,119,238
132,64,134,242,153,214,114,73
179,112,152,78,8,143,111,226
207,249,12,224,73,134,9,161
84,11,24,86,212,85,178,188
55,21,11,153,244,116,61,15
220,62,133,78,71,161,107,209
10,85,37,209,202,139,254,88
102,210,1,19,147,224,154,216
22,95,175,35,0,4,129,202
194,76,246,77,19,171,36,106
90,247,216,91,11,234,8,7
114,233,229,226,180,62,154,123
206,38,75,213,124,140,141,108
156,101,158,25,162,198,34,241
190,222,84,64,134,30,32,195
95,251,201,213,228,21,234,11
238,54,8,25,11,246,157,36
56,52,135,105,251,151,113,195
63,200,181,215,86,172,233,67
18,96,183,207,160,155,220,179
131,206,6,73,131,146,91,185
232,7,255,183,23,95,27,214
34,205,159,111,98,167,75,199
179,221,114,68,211,122,172,208
216,173,136,42,12,193,154,60
68,190,207,27,126,61,83,84
218,254,30,89,60,236,249,61
78,210,127,174,107,30,31,177
197,134,128,55,24,98,19,178
200,156,61,89,193,52,114,140
1,12,5,204,89,45,227,50
190,227,28,35,160,132,213,83
241,36,117,25,192,150,178,201
153,45,140,58,23,19,49,10
244,193,149,21,124,77,35,31
179,192,153,88,25,147,135,251
236,118,216,58,55,109,147,80
90,150,145,69,29,201,183,220
108,8,36,200,65,249,99,95
123,47,23,105,243,193,178,175
47,248,156,94,117,92,115,21
68,189,1,224,186,135,7,45
23,137,69,147,8,45,202,213
181,205,9,228,214,180,176,22
161,179,134,159,142,1,87,203
76,14,177,82,124,157,143,208
17,173,31,68,99,158,222,114
71,82,173,10,187,125,79,54
201,146,5,123,154,139,164,121
93,179,83,191,240,245,59,37
74,88,62,98,131,4,133,82
10,42,157,238,213,115,198,171
154,111,208,67,210,180,204,229
116,201,39,210,206,227,30,44
19,239,165,247,160,245,58,162
224,148,254,124,95,127,80,68
180,247,13,106,248,145,164,64
220,15,167,146,252,39,76,52
193,105,143,40,147,175,84,35
235,118,70,172,37,88,165,207
52,246,169,28,46,138,46,252
4,157,32,100,82,216,141,249
202,161,195,227,220,134,0,208
85,25,243,71,132,30,87,231
218,206,70,61,104,242,147,159
65,44,252,186,27,129,209,68
20,78,246,63,148,215,244,50
41,15,197,125,81,181,60,170
244,7,65,209,75,92,128,76
18,255,148,200,170,51,22,45
85,21,194,200,140,7,148,57
199,58,28,243,179,57,167,155
134,164,241,199,153,72,220,181
88,73,4,119,19,165,124,114
214,8,143,198,144,109,24,112
228,252,12,58,13,125,212,163
167,28,55,221,86,95,38,54
167,223,76,81,156,252,149,133
76,37,110,56,224,18,46,253
59,203,152,20,134,92,234,93
122,69,17,27,54,146,218,97
112,106,12,61,137,230,74,169
202,188,145,190,78,9,35,252
223,132,206,96,124,230,255,92
216,120,226,44,36,138,77,237
114,88,150,159,220,174,14,125
111,115,95,121,2,32,16,65
49,179,176,211,119,136,145,106
119,61,80,10,139,37,60,133
0,93,136,205,118,160,97,5
195,170,215,137,182,162,232,179
36,125,181,98,73,141,212,25
31,98,52,192,163,42,60,105
